cliente_id,telefone_id,numero,ddd,desde
CLI0517,TEL0517,95019-4424,61,2020-10-15
CLI0518,TEL0518,99921-6271,71,2022-10-18
CLI0519,TEL0519,92408-6477,71,2020-08-02
CLI0520,TEL0520,94046-6850,61,2025-01-06
CLI0521,TEL0521,97437-1697,31,2025-03-17
CLI0522,TEL0522,98486-1461,31,2025-10-07
CLI0523,TEL0523,91076-6621,41,2021-09-30
CLI0524,TEL0524,95201-2125,71,2019-01-12
CLI0525,TEL0525,96297-4354,61,2018-07-08
CLI0526,TEL0526,93038-1613,41,2023-02-13
CLI0527,TEL0527,95326-3338,81,2019-05-26
CLI0528,TEL0528,92678-5313,51,2021-07-05
CLI0529,TEL0529,94766-6193,41,2025-08-05
CLI0530,TEL0530,97588-5261,11,2023-01-28
CLI0531,TEL0531,99341-8443,51,2024-07-02
CLI0532,TEL0532,96384-9808,81,2025-01-27
CLI0533,TEL0533,91348-7960,85,2020-06-19
CLI0534,TEL0534,95439-1575,41,2025-06-10
CLI0535,TEL0535,92065-9310,81,2022-04-12
CLI0536,TEL0536,99388-4644,41,2025-08-17
CLI0537,TEL0537,95113-2544,41,2020-05-05
CLI0538,TEL0538,96719-4162,85,2021-09-22
CLI0539,TEL0539,97486-3183,61,2018-05-20
CLI0540,TEL0540,94811-2392,11,2021-03-25
CLI0541,TEL0541,95399-5579,21,2018-01-21
CLI0542,TEL0542,95458-2633,41,2024-03-11
CLI0543,TEL0543,92233-1974,81,2021-04-20
CLI0544,TEL0544,93362-5539,85,2019-12-25
CLI0545,TEL0545,97386-5190,71,2023-06-15
CLI0546,TEL0546,95891-3361,31,2020-02-10
CLI0547,TEL0547,93824-7868,21,2025-11-13
CLI0548,TEL0548,94152-6004,71,2018-02-26
CLI0549,TEL0549,98780-1196,31,2022-05-21
CLI0550,TEL0550,93481-1575,11,2023-04-26
CLI0551,TEL0551,93220-2148,61,2019-09-21
CLI0552,TEL0552,96553-8616,81,2022-06-27
CLI0553,TEL0553,94987-3237,61,2018-08-30
CLI0554,TEL0554,98560-2465,41,2020-06-08
CLI0555,TEL0555,92532-2788,41,2019-03-08
CLI0556,TEL0556,98743-2238,71,2019-07-19
CLI0557,TEL0557,96180-5576,71,2021-11-09
CLI0558,TEL0558,99964-2120,81,2022-06-13
CLI0559,TEL0559,97669-1881,31,2024-08-07
CLI0560,TEL0560,94009-6907,31,2023-02-08
CLI0561,TEL0561,94517-5421,21,2022-01-20
CLI0562,TEL0562,98773-3953,71,2022-02-18
CLI0563,TEL0563,96174-2546,41,2021-05-14
CLI0564,TEL0564,95916-1394,31,2025-04-13
CLI0565,TEL0565,96746-2834,71,2020-10-04
CLI0566,TEL0566,96237-9798,21,2024-03-03
CLI0567,TEL0567,99779-7776,51,2018-03-18
CLI0568,TEL0568,93079-4504,81,2022-12-26
CLI0569,TEL0569,96111-8474,51,2023-04-26
CLI0570,TEL0570,92451-2794,11,2022-07-17
CLI0571,TEL0571,98162-5927,11,2024-10-22
CLI0572,TEL0572,97439-3094,41,2022-08-16
CLI0573,TEL0573,99353-8160,51,2019-05-12
CLI0574,TEL0574,99647-7721,61,2020-08-08
CLI0575,TEL0575,93755-2080,31,2020-04-21
CLI0576,TEL0576,96886-6387,11,2025-10-16
CLI0577,TEL0577,99987-9503,71,2022-09-19
CLI0578,TEL0578,92822-1079,11,2020-01-04
CLI0579,TEL0579,95130-2951,71,2018-02-17
CLI0580,TEL0580,97299-3494,41,2022-12-03
CLI0581,TEL0581,99715-8533,11,2021-07-23
CLI0582,TEL0582,92346-9972,71,2020-06-29
CLI0583,TEL0583,91377-9438,51,2020-05-24
CLI0584,TEL0584,95002-8301,21,2022-04-12
CLI0585,TEL0585,97051-5245,61,2023-05-09
CLI0586,TEL0586,93458-1297,41,2021-04-19
CLI0587,TEL0587,96947-4333,61,2022-02-10
CLI0588,TEL0588,98315-6269,71,2021-08-27
CLI0589,TEL0589,97626-8076,81,2021-12-31
CLI0590,TEL0590,95374-1262,31,2021-10-02
CLI0591,TEL0591,94645-9410,81,2025-05-31
CLI0592,TEL0592,93305-1551,85,2024-11-07
CLI0593,TEL0593,93227-8660,41,2021-07-10
CLI0594,TEL0594,93617-4641,61,2019-11-25
CLI0595,TEL0595,92551-3285,85,2025-07-16
CLI0596,TEL0596,92137-3894,61,2024-03-24
CLI0597,TEL0597,92874-1519,11,2019-01-28
CLI0598,TEL0598,97691-1385,11,2023-04-09
CLI0599,TEL0599,98508-2419,11,2025-07-18
CLI0600,TEL0600,92124-6748,21,2025-09-28
CLI0601,TEL0601,97131-1188,81,2019-01-24
CLI0602,TEL0602,96112-7255,11,2020-07-18
CLI0603,TEL0603,95912-7272,11,2021-12-06
CLI0604,TEL0604,99179-4358,51,2024-10-22
CLI0605,TEL0605,97911-2361,81,2022-05-31
CLI0606,TEL0606,92663-3067,81,2022-03-29
CLI0607,TEL0607,97422-7853,71,2021-03-10
CLI0608,TEL0608,98240-7697,85,2021-12-22
CLI0609,TEL0609,98652-2319,31,2022-08-29
CLI0610,TEL0610,91598-7763,21,2021-10-22
CLI0611,TEL0611,95937-3385,31,2025-02-06
CLI0612,TEL0612,96033-7869,71,2022-05-27
CLI0613,TEL0613,98091-5141,61,2025-01-29
CLI0614,TEL0614,91281-7548,51,2024-01-04
CLI0615,TEL0615,92656-9078,41,2020-03-29
CLI0616,TEL0616,91041-8029,41,2018-06-23
CLI0617,TEL0617,99199-9236,31,2022-06-22
CLI0618,TEL0618,97877-9795,11,2025-07-04
CLI0619,TEL0619,92650-1716,31,2025-03-01
CLI0620,TEL0620,95570-2347,31,2021-01-01
CLI0621,TEL0621,99648-7944,11,2021-12-03
CLI0622,TEL0622,97308-1866,11,2019-01-26
CLI0623,TEL0623,98319-1810,21,2018-10-24
CLI0624,TEL0624,98779-2913,41,2019-08-03
CLI0625,TEL0625,97798-1746,21,2023-01-11
CLI0626,TEL0626,91834-9312,51,2021-05-15
CLI0627,TEL0627,96384-6974,11,2024-08-21
CLI0628,TEL0628,96582-4661,61,2022-03-17
CLI0629,TEL0629,93727-9658,81,2021-10-16
CLI0630,TEL0630,91921-4714,81,2024-09-11
CLI0631,TEL0631,99388-2819,81,2023-01-01
CLI0632,TEL0632,97294-5117,81,2020-09-08
CLI0633,TEL0633,94714-1660,81,2023-02-15
CLI0634,TEL0634,99962-1244,85,2019-02-04
CLI0635,TEL0635,93780-5208,51,2023-07-25
CLI0636,TEL0636,93658-2991,71,2020-10-24
CLI0637,TEL0637,96773-8469,51,2024-03-07
CLI0638,TEL0638,96841-2086,71,2018-05-31
CLI0639,TEL0639,93327-2465,61,2021-01-30
CLI0640,TEL0640,97363-2191,11,2025-01-28
CLI0641,TEL0641,99563-5227,31,2018-09-11
CLI0642,TEL0642,94639-3243,51,2022-08-24
CLI0643,TEL0643,91167-5938,21,2023-10-20
CLI0644,TEL0644,96183-4745,11,2019-05-16
CLI0645,TEL0645,96975-7359,51,2022-09-08
CLI0646,TEL0646,96406-4812,51,2023-07-06
CLI0647,TEL0647,92941-5524,81,2024-05-15
CLI0648,TEL0648,97954-3003,61,2020-10-23
CLI0649,TEL0649,93241-9945,21,2024-08-29
CLI0650,TEL0650,97096-9155,85,2023-10-17
CLI0651,TEL0651,91747-8567,31,2020-04-15
CLI0652,TEL0652,98129-7058,51,2020-08-29
CLI0653,TEL0653,92059-8234,21,2019-09-05
CLI0654,TEL0654,98599-3007,61,2023-08-15
CLI0655,TEL0655,94766-8883,11,2020-10-04
CLI0656,TEL0656,99684-1261,31,2022-09-08
CLI0657,TEL0657,99245-6313,81,2023-06-29
CLI0658,TEL0658,93830-6444,51,2022-03-18
CLI0659,TEL0659,98387-4046,85,2019-07-01
CLI0660,TEL0660,95107-3229,11,2024-06-06
CLI0661,TEL0661,92107-4383,61,2018-06-30
CLI0662,TEL0662,96867-3054,41,2024-06-10
CLI0663,TEL0663,91853-7659,11,2023-05-10
CLI0664,TEL0664,94829-3889,11,2024-10-19
CLI0665,TEL0665,95255-1098,61,2022-08-27
CLI0666,TEL0666,93372-8770,41,2021-07-02
CLI0667,TEL0667,98362-8029,51,2025-01-25
CLI0668,TEL0668,97741-8376,11,2020-05-07
CLI0669,TEL0669,99188-6554,61,2021-07-19
CLI0670,TEL0670,94952-9633,51,2019-12-03
CLI0671,TEL0671,93133-8461,41,2025-11-21
CLI0672,TEL0672,98899-2692,21,2019-08-20
CLI0673,TEL0673,97978-2977,81,2023-04-24
CLI0674,TEL0674,93582-9899,61,2018-08-12
CLI0675,TEL0675,94812-1530,61,2023-07-20
CLI0676,TEL0676,93935-4066,11,2023-01-01
CLI0677,TEL0677,95360-4020,71,2024-05-19
CLI0678,TEL0678,99951-1414,21,2025-10-19
CLI0679,TEL0679,92317-7554,41,2022-04-13
CLI0680,TEL0680,95771-4248,41,2018-07-23
CLI0681,TEL0681,97172-4667,21,2020-05-30
CLI0682,TEL0682,98098-4959,85,2022-09-28
CLI0683,TEL0683,96326-5261,11,2020-04-12
CLI0684,TEL0684,96325-2781,41,2021-12-08
CLI0685,TEL0685,99081-3952,85,2018-04-20
CLI0686,TEL0686,94640-6702,11,2024-01-05
CLI0687,TEL0687,97877-8414,71,2025-12-31
CLI0688,TEL0688,95976-6831,41,2019-11-02
CLI0689,TEL0689,97121-1383,81,2025-09-09
CLI0690,TEL0690,91045-7859,81,2019-04-01
CLI0691,TEL0691,91167-2692,31,2022-05-15
CLI0692,TEL0692,97085-5903,41,2021-12-26
CLI0693,TEL0693,91566-4689,31,2024-12-05
CLI0694,TEL0694,91107-3748,41,2024-01-24
CLI0695,TEL0695,96429-6636,11,2024-01-24
CLI0696,TEL0696,94703-7632,85,2018-11-15
CLI0697,TEL0697,95023-4157,31,2023-04-15
CLI0698,TEL0698,93166-1118,85,2020-10-02
CLI0699,TEL0699,93006-3069,51,2019-04-24
CLI0700,TEL0700,91942-8279,61,2023-09-15
CLI0701,TEL0701,93193-1924,21,2024-12-10
CLI0702,TEL0702,98882-8533,51,2021-11-07
CLI0703,TEL0703,97290-3986,51,2018-09-30
CLI0704,TEL0704,96601-2602,31,2020-10-10
CLI0705,TEL0705,92636-8890,61,2018-05-15
CLI0706,TEL0706,98757-6218,31,2024-05-22
CLI0707,TEL0707,92685-3324,11,2023-10-28
CLI0708,TEL0708,91433-1073,31,2025-11-30
CLI0709,TEL0709,95431-2000,41,2018-07-01
CLI0710,TEL0710,96437-6810,11,2025-06-08
CLI0711,TEL0711,92644-2721,51,2025-11-20
CLI0712,TEL0712,98552-3288,51,2024-09-09
CLI0713,TEL0713,93512-2530,85,2018-10-28
CLI0714,TEL0714,99842-2793,31,2018-09-02
CLI0715,TEL0715,91679-8068,81,2018-02-08
CLI0716,TEL0716,94841-3787,85,2023-07-13
CLI0717,TEL0717,91936-3718,61,2024-09-08
CLI0718,TEL0718,96464-9248,61,2024-10-29
CLI0719,TEL0719,93814-6253,71,2025-12-18
CLI0720,TEL0720,91294-9321,51,2020-07-11
CLI0721,TEL0721,96937-5999,41,2024-01-18
CLI0722,TEL0722,97419-3765,85,2022-01-05
CLI0723,TEL0723,99737-4004,61,2020-07-10
CLI0724,TEL0724,97736-4091,51,2018-06-28
CLI0725,TEL0725,95025-5481,21,2019-09-22
CLI0726,TEL0726,97840-7462,31,2025-05-17
CLI0727,TEL0727,91004-5297,61,2025-10-23
CLI0728,TEL0728,94032-2093,81,2021-04-30
CLI0729,TEL0729,92226-1817,21,2022-08-16
CLI0730,TEL0730,99826-3910,31,2020-01-24
CLI0731,TEL0731,94640-7263,11,2019-02-02
CLI0732,TEL0732,93352-8559,81,2023-01-11
CLI0733,TEL0733,92816-7848,11,2020-09-03
CLI0734,TEL0734,99613-6799,11,2019-03-10
CLI0735,TEL0735,95446-7941,21,2021-06-21
CLI0736,TEL0736,92823-4368,41,2019-07-31
CLI0737,TEL0737,95243-5638,21,2019-04-12
CLI0738,TEL0738,97374-6717,51,2019-02-02
CLI0739,TEL0739,98600-8698,71,2021-09-03
CLI0740,TEL0740,97913-4414,51,2018-02-14
CLI0741,TEL0741,95545-8021,21,2019-08-09
CLI0742,TEL0742,98231-1323,21,2023-09-02
CLI0743,TEL0743,93825-5911,31,2021-12-07
CLI0744,TEL0744,96040-5368,51,2022-01-07
CLI0745,TEL0745,98018-6492,41,2022-01-06
CLI0746,TEL0746,91176-3711,61,2022-12-22
CLI0747,TEL0747,97201-3241,71,2025-05-29
CLI0748,TEL0748,99449-8108,51,2023-02-24
CLI0749,TEL0749,99206-6524,61,2018-03-18
CLI0750,TEL0750,94841-6263,11,2024-06-25
CLI0751,TEL0751,92272-5290,71,2019-01-03
CLI0752,TEL0752,92537-5810,41,2020-06-18
CLI0753,TEL0753,98488-1839,71,2021-05-20
CLI0754,TEL0754,96757-7809,51,2023-07-25
CLI0755,TEL0755,97621-2100,61,2021-10-26
CLI0756,TEL0756,99479-1549,11,2022-07-10
CLI0757,TEL0757,91181-9470,51,2021-12-18
CLI0758,TEL0758,97308-1334,51,2021-09-04
CLI0759,TEL0759,91598-4733,41,2020-01-02
CLI0760,TEL0760,94461-1443,71,2018-06-07
CLI0761,TEL0761,98716-2970,85,2025-06-11
CLI0762,TEL0762,98788-5607,21,2022-06-27
CLI0763,TEL0763,99307-8059,61,2021-03-14
CLI0764,TEL0764,91764-7344,81,2023-06-04
CLI0765,TEL0765,93771-9438,85,2019-03-04
CLI0766,TEL0766,96286-1358,51,2018-09-05
CLI0767,TEL0767,91961-5298,85,2025-09-03
CLI0768,TEL0768,91487-7670,71,2024-08-05
CLI0769,TEL0769,91242-8775,41,2021-10-10
CLI0770,TEL0770,92312-9790,31,2020-10-15
CLI0771,TEL0771,94343-4823,81,2022-10-23
CLI0772,TEL0772,96045-5299,31,2022-03-24
CLI0773,TEL0773,99774-4840,21,2023-04-07
CLI0774,TEL0774,91315-2850,51,2024-03-17
CLI0775,TEL0775,93943-2040,61,2022-12-04
CLI0776,TEL0776,99691-3660,51,2020-02-25
CLI0777,TEL0777,91889-3403,21,2022-09-08
CLI0778,TEL0778,97330-7175,51,2021-12-24
CLI0779,TEL0779,91848-2686,71,2025-11-10
CLI0780,TEL0780,99372-2526,61,2025-06-11
CLI0781,TEL0781,91891-3557,71,2022-04-15
CLI0782,TEL0782,94335-1509,85,2025-06-21
CLI0783,TEL0783,98442-3610,71,2021-07-05
CLI0784,TEL0784,93848-5849,51,2024-10-20
CLI0785,TEL0785,98498-3413,85,2025-12-20
CLI0786,TEL0786,95515-2455,21,2022-05-31
CLI0787,TEL0787,97305-2805,31,2020-05-21
CLI0788,TEL0788,91542-9689,31,2018-02-04
CLI0789,TEL0789,91930-3870,71,2018-01-08
CLI0790,TEL0790,97250-4012,51,2018-05-09
CLI0791,TEL0791,92330-3926,11,2025-09-17
CLI0792,TEL0792,95886-3659,61,2023-12-14
CLI0793,TEL0793,93559-4650,81,2021-05-08
CLI0794,TEL0794,98394-7636,11,2019-03-28
CLI0795,TEL0795,95811-4969,71,2018-06-19
CLI0796,TEL0796,96814-4642,71,2018-10-22
CLI0797,TEL0797,98202-7016,51,2024-01-25
CLI0798,TEL0798,99356-9958,31,2020-07-03
CLI0799,TEL0799,95075-9483,61,2025-01-01
CLI0800,TEL0800,94781-8010,11,2024-12-11
CLI0801,TEL0801,99666-7680,51,2024-01-03
CLI0802,TEL0802,98939-3853,31,2025-04-10
CLI0803,TEL0803,97339-4023,31,2023-10-04
CLI0804,TEL0804,92190-8433,71,2025-06-24
CLI0805,TEL0805,93528-9981,41,2022-09-08
CLI0806,TEL0806,97550-9433,81,2024-12-20
CLI0807,TEL0807,98107-1202,51,2020-12-16
CLI0808,TEL0808,99573-5120,41,2019-03-03
CLI0809,TEL0809,92386-3535,31,2018-09-27
CLI0810,TEL0810,95744-5874,11,2020-04-08
CLI0811,TEL0811,92103-5996,41,2024-07-08
CLI0812,TEL0812,95923-2936,11,2020-01-12
CLI0813,TEL0813,93495-9905,81,2019-04-26
CLI0814,TEL0814,96361-7287,51,2021-08-10
CLI0815,TEL0815,93479-1911,85,2020-06-22
CLI0816,TEL0816,98937-7989,71,2023-11-13
CLI0817,TEL0817,97564-3049,85,2020-01-19
CLI0818,TEL0818,93157-1070,21,2018-09-10
CLI0819,TEL0819,98349-7692,71,2022-06-25
CLI0820,TEL0820,93505-5757,11,2020-06-22
CLI0821,TEL0821,92974-3676,61,2020-05-06
CLI0822,TEL0822,96173-7630,21,2025-12-18
CLI0823,TEL0823,93778-2200,81,2022-12-22
CLI0824,TEL0824,93938-1737,31,2019-07-28
CLI0825,TEL0825,94248-9448,81,2021-11-29
CLI0826,TEL0826,94012-5815,51,2024-02-23
CLI0827,TEL0827,95438-9083,71,2020-01-20
CLI0828,TEL0828,94694-6164,21,2018-06-16
CLI0829,TEL0829,92168-8720,11,2025-05-06
CLI0830,TEL0830,93727-9818,61,2022-08-18
CLI0831,TEL0831,91606-2202,85,2019-02-21
CLI0832,TEL0832,99922-2295,21,2024-04-24
CLI0833,TEL0833,97429-6992,41,2025-04-19
CLI0834,TEL0834,98746-1044,11,2018-04-08
CLI0835,TEL0835,96103-6225,51,2024-05-06
CLI0836,TEL0836,93451-3919,21,2023-06-07
CLI0837,TEL0837,97449-3626,11,2023-08-31
CLI0838,TEL0838,95566-1344,81,2023-07-09
CLI0839,TEL0839,96536-2483,71,2025-10-30
CLI0840,TEL0840,94878-6612,71,2023-07-04
CLI0841,TEL0841,95914-5319,11,2024-04-03
CLI0842,TEL0842,99283-8912,11,2023-04-21
CLI0843,TEL0843,92518-9861,51,2018-08-08
CLI0844,TEL0844,97386-7202,21,2023-02-03
CLI0845,TEL0845,91770-6618,31,2019-05-25
CLI0846,TEL0846,92825-7607,11,2024-05-14
CLI0847,TEL0847,96137-4700,81,2019-09-22
CLI0848,TEL0848,96953-5563,51,2018-04-28
CLI0849,TEL0849,92309-8271,21,2022-12-15
CLI0850,TEL0850,96553-4995,51,2018-12-15
CLI0851,TEL0851,97675-3945,41,2021-01-26
CLI0852,TEL0852,93258-7297,21,2019-07-07
CLI0853,TEL0853,98965-8346,11,2023-08-21
CLI0854,TEL0854,91849-7444,41,2019-07-04
CLI0855,TEL0855,97077-1721,31,2022-08-22
CLI0856,TEL0856,95357-1131,85,2020-07-20
CLI0857,TEL0857,92937-3701,11,2021-12-12
CLI0858,TEL0858,93216-1381,51,2020-05-07
CLI0859,TEL0859,97078-8659,61,2019-12-03
CLI0860,TEL0860,97429-1682,11,2023-05-02
CLI0861,TEL0861,96715-9077,51,2019-07-03
CLI0862,TEL0862,93245-1718,61,2019-06-30
CLI0863,TEL0863,94688-9418,21,2020-10-20
CLI0864,TEL0864,97378-6699,61,2020-04-18
CLI0865,TEL0865,97523-7654,31,2024-02-02
CLI0866,TEL0866,99082-9110,11,2022-10-27
CLI0867,TEL0867,92680-7881,31,2024-03-17
CLI0868,TEL0868,98354-3527,71,2018-10-28
CLI0869,TEL0869,96996-9257,61,2018-06-27
CLI0870,TEL0870,92111-8228,41,2023-04-23
CLI0871,TEL0871,96177-7934,11,2025-11-25
CLI0872,TEL0872,93112-3936,51,2018-12-23
CLI0873,TEL0873,96039-8247,51,2018-12-12
CLI0874,TEL0874,96240-8660,11,2022-07-20
CLI0875,TEL0875,99596-9708,71,2021-04-05
CLI0876,TEL0876,98039-6408,71,2022-05-13
CLI0877,TEL0877,99108-5322,85,2020-03-14
CLI0878,TEL0878,91805-4043,41,2025-04-10
CLI0879,TEL0879,95003-1097,21,2018-12-15
CLI0880,TEL0880,98085-9009,41,2022-03-03
CLI0881,TEL0881,98848-4484,31,2025-09-03
CLI0882,TEL0882,93185-6278,41,2022-03-02
CLI0883,TEL0883,97161-4061,51,2025-11-22
CLI0884,TEL0884,94667-9764,61,2024-11-16
CLI0885,TEL0885,91355-2538,51,2022-08-18
CLI0886,TEL0886,94734-3870,85,2023-01-05
CLI0887,TEL0887,99104-2156,85,2018-09-27
CLI0888,TEL0888,92377-6378,51,2019-08-21
CLI0889,TEL0889,96301-8150,21,2023-04-28
CLI0890,TEL0890,95658-5028,41,2025-09-15
CLI0891,TEL0891,93101-9073,81,2020-12-17
CLI0892,TEL0892,97785-9294,11,2021-01-06
CLI0893,TEL0893,91056-4396,85,2021-10-04
CLI0894,TEL0894,96489-6131,31,2025-03-12
CLI0895,TEL0895,92389-1615,81,2019-03-28
CLI0896,TEL0896,95427-1303,71,2019-07-09
CLI0897,TEL0897,97885-3256,61,2024-03-25
CLI0898,TEL0898,95015-7632,41,2020-05-27
CLI0899,TEL0899,95298-7744,21,2021-03-22
CLI0900,TEL0900,94422-2711,85,2020-05-28
CLI0901,TEL0901,95551-2267,51,2024-07-24
CLI0902,TEL0902,96160-6137,11,2020-09-29
CLI0903,TEL0903,97831-8151,51,2023-05-07
CLI0904,TEL0904,95214-7242,21,2018-11-06
CLI0905,TEL0905,92222-2709,61,2025-08-24
CLI0906,TEL0906,91266-1066,21,2022-04-22
CLI0907,TEL0907,99700-5983,81,2025-04-11
CLI0908,TEL0908,97515-8554,85,2018-11-08
CLI0909,TEL0909,99623-3315,31,2025-11-09
CLI0910,TEL0910,91947-6403,85,2024-08-18
CLI0911,TEL0911,97298-2262,41,2020-09-08
CLI0912,TEL0912,96012-8660,85,2022-07-22
CLI0913,TEL0913,99442-8018,81,2021-03-24
CLI0914,TEL0914,94955-1060,81,2022-10-01
CLI0915,TEL0915,91972-3305,71,2024-01-10
CLI0916,TEL0916,97859-6286,61,2025-04-27
CLI0917,TEL0917,96415-9179,85,2018-10-14
CLI0918,TEL0918,96768-2636,31,2020-12-02
CLI0919,TEL0919,91856-7331,85,2019-07-01
CLI0920,TEL0920,93175-5770,11,2022-01-15
CLI0921,TEL0921,96326-2745,31,2018-10-24
CLI0922,TEL0922,98738-5851,11,2019-01-31
CLI0923,TEL0923,97976-1278,85,2023-09-04
CLI0924,TEL0924,92040-8415,11,2023-11-24
CLI0925,TEL0925,95887-5387,31,2025-06-04
CLI0926,TEL0926,91740-6452,11,2023-04-03
CLI0927,TEL0927,92133-4483,51,2025-05-03
CLI0928,TEL0928,98792-8942,81,2021-07-22
CLI0929,TEL0929,92794-4436,61,2024-02-26
CLI0930,TEL0930,91692-8602,41,2018-06-14
CLI0931,TEL0931,91232-6273,81,2021-08-13
CLI0932,TEL0932,96517-9986,11,2019-11-03
CLI0933,TEL0933,95111-5428,31,2021-05-28
CLI0934,TEL0934,96796-9690,31,2024-03-17
CLI0935,TEL0935,98678-4132,51,2024-09-24
CLI0936,TEL0936,98533-8719,51,2018-11-16
CLI0937,TEL0937,92862-6058,21,2018-01-03
CLI0938,TEL0938,93604-4300,11,2020-05-17
CLI0939,TEL0939,96242-9519,71,2018-09-04
CLI0940,TEL0940,97885-3607,41,2025-02-12
CLI0941,TEL0941,99988-7172,51,2022-02-09
CLI0942,TEL0942,94437-2616,81,2020-06-16
CLI0943,TEL0943,94500-2416,61,2025-01-05
CLI0944,TEL0944,99202-3450,51,2019-03-30
CLI0945,TEL0945,96118-7788,85,2021-03-20
CLI0946,TEL0946,98539-3366,41,2020-08-10
CLI0947,TEL0947,91441-3482,31,2020-07-23
CLI0948,TEL0948,98019-6183,51,2019-11-15
CLI0949,TEL0949,98317-6291,51,2021-07-09
CLI0950,TEL0950,94318-9598,21,2020-05-12
CLI0951,TEL0951,92086-6779,21,2020-10-06
CLI0952,TEL0952,95956-7055,85,2018-03-31
CLI0953,TEL0953,94442-9282,51,2020-04-23
CLI0954,TEL0954,91374-3548,11,2022-12-03
CLI0955,TEL0955,97539-2782,31,2023-07-28
CLI0956,TEL0956,99965-9959,21,2023-09-07
CLI0957,TEL0957,99368-3192,11,2019-02-05
CLI0958,TEL0958,91600-2940,11,2019-12-26
CLI0959,TEL0959,93358-7350,85,2023-04-10
CLI0960,TEL0960,98154-5977,81,2018-03-22
CLI0961,TEL0961,99041-6372,81,2021-09-09
CLI0962,TEL0962,96543-6805,81,2019-02-16
CLI0963,TEL0963,93798-4572,21,2021-09-24
CLI0964,TEL0964,98208-1536,61,2020-12-30
CLI0965,TEL0965,94647-9463,51,2018-06-11
CLI0966,TEL0966,99341-9804,41,2019-09-06
CLI0967,TEL0967,91842-2677,31,2023-03-21
CLI0968,TEL0968,98273-2865,61,2024-08-05
CLI0969,TEL0969,91613-8174,81,2022-04-25
CLI0970,TEL0970,94803-5957,51,2023-05-15
CLI0971,TEL0971,98750-5807,11,2021-04-12
CLI0972,TEL0972,95885-1354,21,2024-03-24
CLI0973,TEL0973,94582-9169,85,2022-07-30
CLI0974,TEL0974,96997-8422,31,2020-11-08
CLI0975,TEL0975,99340-7447,85,2024-04-27
CLI0976,TEL0976,92453-6430,85,2021-05-18
CLI0977,TEL0977,94713-3868,51,2021-05-15
CLI0978,TEL0978,96684-5166,85,2025-12-09
CLI0979,TEL0979,94396-5913,51,2022-04-28
CLI0980,TEL0980,93004-6658,61,2019-01-25
CLI0981,TEL0981,95386-2882,71,2018-10-17
CLI0982,TEL0982,93712-2260,85,2021-12-23
CLI0983,TEL0983,95696-2620,41,2022-12-26
CLI0984,TEL0984,91959-5180,85,2018-01-14
CLI0985,TEL0985,93104-3054,85,2022-10-01
CLI0986,TEL0986,91469-3483,71,2024-09-10
CLI0987,TEL0987,97299-4066,21,2021-01-24
CLI0988,TEL0988,93017-7185,71,2023-04-13
CLI0989,TEL0989,97457-4940,51,2024-08-13
CLI0990,TEL0990,95401-9916,11,2020-07-15
CLI0991,TEL0991,94616-7897,81,2024-12-02
CLI0992,TEL0992,92182-6364,31,2020-12-25
CLI0993,TEL0993,95813-1440,31,2018-04-05
CLI0994,TEL0994,95981-7479,61,2024-08-29
CLI0995,TEL0995,92802-7287,41,2021-03-15
CLI0996,TEL0996,96844-7248,61,2025-06-09
CLI0997,TEL0997,97154-5304,21,2024-03-16
CLI0998,TEL0998,96298-1040,31,2018-11-21
CLI0999,TEL0999,95441-5727,51,2023-11-18
CLI1000,TEL1000,99780-4746,11,2023-08-26
CLI1001,TEL1001,92083-5140,61,2021-08-06
CLI1002,TEL1002,95790-4243,31,2025-12-27
CLI1003,TEL1003,98503-9617,85,2025-03-14
CLI1004,TEL1004,95743-1228,61,2024-05-10
CLI1005,TEL1005,97961-2552,85,2022-06-22
CLI1006,TEL1006,99225-1845,11,2023-04-25
CLI1007,TEL1007,92381-6317,21,2024-11-09
CLI1008,TEL1008,97759-3798,21,2025-10-11
CLI1009,TEL1009,98472-2594,11,2024-05-14
CLI1010,TEL1010,95934-3111,61,2022-05-03
CLI1011,TEL1011,91037-3339,71,2025-11-16
CLI1012,TEL1012,93936-4214,11,2022-04-12
CLI1013,TEL1013,94031-9228,71,2024-03-17
CLI1014,TEL1014,96348-3262,31,2019-03-10
CLI1015,TEL1015,91447-7614,71,2024-07-24
CLI1016,TEL1016,96238-3321,11,2019-06-27
CLI1017,TEL1017,93304-3109,31,2021-07-30
CLI1018,TEL1018,94802-3137,31,2022-09-27
CLI1019,TEL1019,91451-2566,11,2022-05-13
CLI1020,TEL1020,96025-4425,41,2022-07-22
CLI1021,TEL1021,96957-3974,85,2025-12-29
CLI1022,TEL1022,95164-6497,71,2019-12-10
CLI1023,TEL1023,94042-9201,71,2020-11-29
CLI1024,TEL1024,93838-5320,85,2022-08-17
CLI1025,TEL1025,96842-5055,71,2021-02-11
CLI1026,TEL1026,95533-6906,31,2018-10-20
CLI1027,TEL1027,96482-3909,71,2023-06-15
CLI1028,TEL1028,95382-8994,71,2024-06-28
CLI1029,TEL1029,91992-7824,71,2022-05-15
CLI1030,TEL1030,94590-5083,71,2022-12-25
CLI1031,TEL1031,95436-7452,71,2021-11-21
CLI1032,TEL1032,97680-3085,85,2021-07-30
CLI1033,TEL1033,99091-3469,51,2022-08-03
